,ex_date,split_factor
0,19910502000000,1.4
1,19920323000000,1.5
2,19930524000000,1.85
3,19940711000000,1.5
4,19950925000000,1.2
5,19960527000000,2.0
6,19970825000000,1.5
7,20070618000000,1.1
8,20081031000000,1.3
9,20130620000000,1.6
10,20140612000000,1.2
11,20150413000000,1.2
12,20160616000000,1.2
13,19910608000000,1.2
14,19920320000000,1.2
15,19930405000000,1.5
16,19940621000000,1.35
17,19950704000000,1.15
18,19960806000000,1.1
19,19970627000000,1.15
20,19980710000000,1.1
21,19990806000000,1.1
22,20030523000000,2.0
23,20040526000000,1.5
24,20050629000000,1.5
25,20070516000000,1.5
26,20080616000000,1.6
27,19930412000000,1.8
28,19940520000000,1.4
29,19950821000000,1.2
30,19960727000000,1.2
31,19910628000000,1.2
32,19920427000000,1.2
33,19930524000000,1.3
34,19940517000000,1.5
35,19950830000000,1.1
36,20060818000000,1.25
37,20070528000000,1.04
38,19940923000000,1.33
39,19950726000000,1.1
40,19960813000000,1.15
41,19970825000000,1.3
42,19980821000000,1.5
43,20000831000000,1.1
44,20010716000000,1.0874380000000001
45,20060731000000,1.65
46,19930607000000,1.3
47,19940627000000,1.6
48,19950711000000,1.3
49,19970709000000,1.3076
50,19980730000000,1.1
51,20060112000000,1.2
52,20080429000000,2.0
53,20100513000000,1.5
54,20110614000000,1.3
55,20120711000000,1.3
56,20130620000000,1.05
57,19930531000000,1.2
58,19940630000000,1.4
59,19970703000000,1.95
60,20060814000000,1.52
61,20170522000000,1.5
62,19930531000000,1.15
63,19940616000000,1.3
64,19950830000000,1.1
65,19960905000000,1.3
66,20051213000000,1.2
67,20130528000000,2.0
68,20150313000000,1.45
69,20150924000000,3.0
70,19920413000000,1.2
71,19930412000000,1.3
72,19940616000000,1.7
73,19950721000000,1.25
74,19960807000000,1.05
75,20080516000000,1.2872299999999999
76,20090806000000,1.05
77,20130726000000,1.15
78,20140709000000,1.2
79,20160721000000,1.35
80,19960722000000,1.1199999999999999
81,19990531000000,2.0
82,20130719000000,4.0
83,19930719000000,1.3
84,19940506000000,1.3
85,19950824000000,1.1
86,19960820000000,1.1
87,20091103000000,1.3900000000000001
88,20091123000000,1.1
89,19930524000000,1.3
90,19940511000000,1.3
91,19950721000000,1.3
92,19960724000000,1.3
93,19971103000000,1.1185
94,20050527000000,1.5
95,20060524000000,1.355
96,20100514000000,1.7
97,20170719000000,1.15
98,20180627000000,1.15
99,20190626000000,1.1
100,19930517000000,1.3
101,19940531000000,1.5
102,19950809000000,1.25
103,20060306000000,1.27
104,20060721000000,1.5
105,20080717000000,1.5
106,19930614000000,1.2
107,19940627000000,1.3
108,19950913000000,1.2
109,19930712000000,1.2
110,19940630000000,1.3
111,19930503000000,1.35
112,19940613000000,1.5
113,19990823000000,1.2
114,20000726000000,1.1
115,20060330000000,1.25
116,20080603000000,2.0
117,20150925000000,2.0
118,19930906000000,1.3
119,19940920000000,1.25
120,19951129000000,1.2
121,20100318000000,1.5149022
