,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,1994,9,6,3,非流通股上市,,,,,,803.0499877929688,1003.0499877929688,8500.0,8500.0,,
1,1995,5,15,1,除权除息,1.2000000476837158,0.0,2.0,0.0,,,,,,,
2,1995,5,15,2,送配股上市,,,,,,1003.0499877929688,1203.6600341796875,8500.0,10200.0,,
3,1996,6,6,1,除权除息,0.0,0.0,1.0,0.0,,,,,,,
4,1996,6,6,2,送配股上市,,,,,,1203.6600341796875,1324.0260009765625,10200.0,11220.0,,
5,1997,7,4,1,除权除息,1.5,0.0,3.0,0.0,,,,,,,
6,1997,7,4,2,送配股上市,,,,,,1324.0260009765625,1721.2340087890625,11220.0,14586.0,,
7,1998,8,6,1,除权除息,1.2000000476837158,0.0,3.0,0.0,,,,,,,
8,1998,8,6,2,送配股上市,,,,,,1721.2340087890625,2237.60400390625,14586.0,18961.80078125,,
9,1999,7,2,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,
10,1999,7,2,2,送配股上市,,,,,,2237.60400390625,2685.125,18961.80078125,22754.16015625,,
11,2000,3,7,1,除权除息,0.0,6.599999904632568,0.0,2.5,,,,,,,
12,2000,4,18,2,送配股上市,,,,,,2685.125,3356.406005859375,22754.16015625,24429.30078125,,
13,2000,8,28,1,除权除息,0.9309999942779541,0.0,0.0,0.0,,,,,,,
14,2001,6,29,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,
15,2002,5,10,6,增发新股,,,,,,0.0,3700.0,1672.0,0.0,,
16,2002,5,27,8,增发新股上市,,,,,,3356.406005859375,7056.40576171875,24429.30078125,28129.30078125,,
17,2002,7,29,1,除权除息,0.0,0.0,1.7369199991226196,0.0,,,,,,,
18,2002,7,30,2,送配股上市,,,,,,7056.40576171875,8282.0498046875,28129.30078125,33015.140625,,
19,2003,7,22,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,
20,2004,7,2,1,除权除息,1.0,0.0,3.0,0.0,,,,,,,
21,2004,7,5,2,送配股上市,,,,,,8282.0498046875,10766.66015625,33015.140625,42919.6796875,,
22,2005,7,11,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,
23,2006,7,3,1,除权除息,0.0,0.0,2.5,0.0,,,,,,,
24,2006,7,3,5,股本变化,,,,,,10766.66015625,13458.330078125,42919.6796875,42919.6796875,,
25,2006,7,17,1,除权除息,1.5,0.0,0.0,0.0,,,,,,,
26,2007,7,3,5,股本变化,,,,,,13458.3271484375,15045.8369140625,42919.67578125,42919.67578125,,
27,2007,7,9,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,
28,2008,6,19,1,除权除息,2.799999952316284,0.0,0.0,0.0,,,,,,,
29,2009,7,3,1,除权除息,0.5,0.0,1.0,0.0,,,,,,,
30,2009,7,6,9,转配股上市,,,,,,15045.8369140625,16550.421875,42919.67578125,47211.64453125,,
31,2009,7,10,3,非流通股上市,,,,,,16550.421875,21271.5859375,47211.64453125,47211.64453125,,
32,2010,7,5,3,非流通股上市,,,,,,21271.5859375,24068.8671875,47211.64453125,47211.64453125,,
33,2010,7,16,1,除权除息,2.0,0.0,0.0,0.0,,,,,,,
34,2011,7,4,3,非流通股上市,,,,,,24068.8671875,29239.82421875,47211.64453125,47211.64453125,,
35,2011,8,31,5,股本变化,,,,,,29239.82421875,69453.078125,47211.64453125,142010.09375,,
36,2011,9,6,5,股本变化,,,,,,69453.078125,69453.078125,142010.09375,172249.578125,,
37,2012,7,2,1,除权除息,2.5,0.0,0.0,0.0,,,,,,,
38,2013,6,30,5,股本变化,,,,,,69453.078125,124038.2734375,172249.578125,172249.578125,,
39,2013,7,29,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,
40,2014,7,23,1,除权除息,2.299999952316284,0.0,0.0,0.0,,,,,,,
41,2014,9,5,5,股本变化,,,,,,124038.2734375,154277.75,172249.578125,172249.578125,,
42,2015,7,30,1,除权除息,2.5,0.0,0.0,0.0,,,,,,,
43,2016,6,14,5,股本变化,,,,,,154277.75,154277.75,172249.578125,178416.8125,,
44,2017,8,3,1,除权除息,1.7999999523162842,0.0,0.0,0.0,,,,,,,
45,2018,7,23,1,除权除息,1.7999999523162842,0.0,0.0,0.0,,,,,,,
46,2019,6,14,5,股本变化,,,,,,154277.75,160444.984375,178416.8125,178416.8125,,
47,2019,8,1,1,除权除息,1.7999999523162842,0.0,0.0,0.0,,,,,,,
